Propilen glikol;12000;ml;Lemari Depo I;cair;;;;;;;;
Rees ecker;100;ml;Lemari Depo I;cair;;;;;;;;
SASA;1000;ml;Lemari Depo I;cair;;;;;;;;
Sirup simplex;0;ml;Lemari Depo I;cair;;;;;;;;
Sorbitol;3200;ml;Lemari Depo I;cair;;;;;;;;
Sorbitol 70%;0;ml;Lemari Depo I;cair;;;;;;;;
Span 20;0;ml;Lemari Depo I;cair;;;;;;;;
Span 80;12500;ml;Lemari Depo I;cair;;;;;;;;
Spiritus;13000;ml;Lemari Depo I;cair;;;;;;;;
Tapol;200;ml;Lemari Depo I;cair;;;;;;;;
TCA 10%;0;ml;Lemari Depo I;cair;;;;;;;;
TEA;9100;ml;Lemari Depo I;cair;;;;;;;;
Turk;100;ml;Lemari Depo I;cair;;;;;;;;
Tween 60;2000;ml;Lemari Depo I;cair;;;;;;;;
Tween 80;6300;ml;Lemari Depo I;cair;;;;;;;;
Wagner;50;ml;Lemari Depo I;cair;;;;;;;;
2-propanol pro analisis;250;ml;Lemari Depo I;cair;;;;;;;;
Anilin;100;ml;Lemari Depo I;cair;;;;;;;;
asam nitrit;500;ml;Lemari Depo I;cair;;;;;;;;
asetaldehid pro analisis;500;ml;Lemari Depo I;cair;;;;;;;;
buffer salmiak;100;ml;Lemari Depo I;cair;;;;;;;;
Asam Oksalat;1500;ml;Lemari Depo I;cair;;;;;;;;
Larutan Penyangga B;1000;ml;Lemari Depo I;cair;;;;;;;;
Solution Ammoniae Spiritus;1000;ml;Lemari Depo I;cair;;;;;;;;
Etilen Glikol;500;ml;Lemari Depo I;cair;;;;;;;;
Aqua Rosae;3000;ml;Lemari Depo I;cair;;;;;;;;
Karbopol;1000;ml;Lemari Depo I;cair;;;;;;;;
PEG 600;2000;ml;Lemari Depo I;cair;;;;;;;;
PCO;1000;ml;Lemari Depo I;cair;;;;;;;;
Oleum citrus;1000;ml;Lemari Depo I;cair;;;;;;;;
Solution Hydratis Calcii;2000;ml;Lemari Depo I;cair;;;;;;;;
Isopropyl Alkohol;2000;ml;Lemari Depo I;cair;;;;;;;;
Buffer Phospat pH 8,2;1000;ml;Lemari Depo I;cair;;;;;;;;
Metyhlen Blue;1000;ml;Lemari Depo I;cair;;;;;;;;
NaCl 0,9% (Infus);6000;ml;Lemari Depo I;cair;;;;;;;;
Reagen Hayem;100;ml;Lemari Depo I;cair;;;;;;;;
Parafin Liquid;5000;ml;Lemari Depo I;cair;;;;;;;;
Pereaksi Biuret;100;ml;Lemari Depo I;cair;;;;;;;;
NH4OH;1000;ml;Lemari Depo I;cair;;;;;;;;
Etanol P.A;3000;ml;Lemari Depo I;cair;;;;;;;;
Xylol;1000;ml;Lemari Depo I;cair;;;;;;;;
NH4OH;1000;ml;Lemari Depo I;cair;;;;;;;;
Cyclopentanone;250;ml;Lemari Depo I;cair;;;;;;;;
CaOH2;1000;ml;Lemari Depo I;cair;;;;;;;;
Reagen Molisch;100;ml;Lemari Depo I;cair;;;;;;;;
Reagen Pandy;50;ml;Lemari Depo I;cair;;;;;;;;
Reagen Schlesinger;200;ml;Lemari Depo I;cair;;;;;;;;
Reagen Millon;200;ml;Lemari Depo I;cair;;;;;;;;
Aquadest;50000;ml;Lemari Depo I;cair;;;;;;;;
Desinfektan;20000;ml;Lemari Depo I;cair;;;;;;;;
BCB;100;ml;Lemari Depo I;cair;;;;;;;;
Reagen Fauchet;100;ml;Lemari Depo I;cair;;;;;;;;
Pyridin;30;ml;Lemari Depo I;cair;;;;;;;;
Frohde;25;ml;Lemari Depo I;cair;;;;;;;;
Phenol Red;200;ml;Lemari Depo I;cair;;;;;;;;
2-Propanolol;500;ml;Lemari Depo I;cair;;;;;;;;
Formic Acid;1000;ml;Lemari Depo I;cair;;;;;;;;
1.10-Phenanthroline Monohydrate;0;ml;Lemari Depo I;cair;;;;;;;;
Reagen Bang;100;ml;Lemari Depo I;cair;;;;;;;;
